kd_suplier,kd_barang,gudang,qty
NONAM01,ZZACL01,Global,0
NONAM01,ZZACMI02,Global,0
NONAM01,ZZACMI01,Global,0
ASIAN01,QACL02,Global,261
ASIAN01,QACL01,Global,562
EXCEL01,QABAC01,Global,1886
EXCEL01,AABAC01,Global,0
EXCEL01,AABAC02,Global,0
EXCEL01,QABAC02,Global,0
EXCEL01,QABAC03,Global,250
EXCEL01,AABAC03,Global,0
EXCEL01,QABAC04,Global,220
EXCEL01,AABAC04,Global,0
EXCEL01,AABAC07,Global,0
EXCEL01,QABAC07,Global,4015
ARTHA01,AABAC06,Global,0
ARTHA01,QABAC06,Global,0
ARTHA01,QABAC05,Global,0
ARTHA01,AABAC05,Global,0
ARTHA01,AABAC08,Global,0
ADVAN01,QABAD02,Global,4657
ADVAN01,AABAD02,Global,0
ADVAN01,QABAD01,Global,1194
ADVAN01,AABAD01,Global,0
EXCEL01,QABAS02,Global,0
EXCEL01,QABAS01,Global,0
ADVAN01,QABEN01,Global,964
ADVAN01,AABEN01,Global,0
ADVAN01,QABEN02,Global,3845
ADVAN01,AABEN02,Global,0
ADVAN01,AABOJ02,Global,0
ADVAN01,QABOJ02,Global,0
ADVAN01,QABOJ01,Global,16655
ADVAN01,AABOJ01,Global,0
BINAN02,QABSI01,Global,0
BINAN02,QABSI04,Global,0
BINAN02,QABSI03,Global,0
BINAN02,QABSI02,Global,0
AGRIC01,QABUK03,Global,0
AGRIC01,AABUK01,Global,0
AGRIC01,QABUK01,Global,0
AGRIC01,QABUK02,Global,0
DUPON01,QACAP01,Global,0
DUPON01,AACAP01,Global,0
CORTE01,QACAP02,Global,20650
SARAN08,AACCO03,Global,1
SARAN08,QACCO02,Global,0
SARAN08,AACCO02,Global,0
BEN01,AACCO04,Global,0
SARAN08,QACCO01,Global,115
SARAN08,AACCO01,Global,0
SARAN08,QACCO03,Global,0
IMTAS01,QACCU06,Global,3
IMTAS01,QACCU02,Global,0
WIDJA01,AACCU01,Global,1
IMTAS01,QACCU05,Global,73
STARM01,QACCU01,Global,0
WIDJA01,AACCU02,Global,0
WIDJA01,QACCU03,Global,0
SINAR01,AACEO01,Global,0
SINAR01,QACEO01,Global,0
SINAR01,QACEO03,Global,0
SINAR01,AACEO03,Global,0
SINAR01,QACEO02,Global,1783
SINAR01,AACEO02,Global,0
SINAR01,QACEO04,Global,1138
ROYAL01,AACEM01,Global,0
ROYAL01,QACEM01,Global,0
ROYAL01,AACEM02,Global,0
ROYAL01,QACEM02,Global,0
ADVAN01,QACHL01,Global,120
BASFI01,QACRO02,Global,0
BASFI01,QACRO01,Global,0
BASFI01,AACRO02,Global,0
BASFI01,AACRO01,Global,0
BASFI01,QACRO03,Global,45956
SYNGE01,QACTA01,Global,0
SYNGE01,AACTA01,Global,0
SYNGE01,AACTE01,Global,0
SYNGE01,QACTE01,Global,0
AGRON01,QACTI04,Global,972
AGRON01,QACTI03,Global,1840
SINAR01,QACTI01,Global,0
SINAR01,AACTI01,Global,0
SINAR01,QACTI02,Global,0
SINAR01,AACTI02,Global,0
BAYER01,AADEN01,Global,0
BAYER01,QADEN01,Global,0
BAYER01,QADEN02,Global,0
PETRO01,QADMI02,Global,0
GLOBA01,QADMI01,Global,0
GLOBA01,AADMI01,Global,0
ADVAN01,QADOC01,Global,0
ADVAN01,AADOC01,Global,0
ADVAN01,AADOC02,Global,0
ADVAN01,QADOC02,Global,0
ADVAN01,QADOC03,Global,0
BIOWO01,AADRI01,Global,0
BIOWO01,QADRI02,Global,190
BIOWO01,QADRI01,Global,52
ADVAN01,QAFON04,Global,1684
ADVAN01,QAFON03,Global,2165
ADVAN01,QAFON01,Global,113
ADVAN01,AAFON01,Global,188
ADVAN01,QAFON02,Global,400
AGROG01,QAGAP02,Global,480
AGROG01,QAGAP01,Global,500
NUFAR01,QAGEN01,Global,0
NUFAR01,QAGEN02,Global,0
NUFAR01,AAGEN01,Global,0
ROYAL01,QAGIL01,Global,0
ROYAL01,AAGIL01,Global,0
ROYAL01,AAGIL02,Global,0
ROYAL01,QAGIL02,Global,0
MITOK01,QAGRE01,Global,0
DELIS01,AAGRI07,Global,0
AGRIM02,AAGRI05,Global,0
AGRIM02,AAGRI04,Global,0
BAYER01,QAGRI06,Global,2058
PETRO01,QAGRI01,Global,0
SYNGE01,QAGRI02,Global,0
SYNGE01,AAGRI01,Global,0
SYNGE01,QAGRI07,Global,13724
SYNGE01,QAGRI03,Global,0
SYNGE01,AAGRI02,Global,0
AGRIC02,AAGRI09,Global,0
AGRIC02,AAGRI08,Global,0
BAYER01,QAGRI04,Global,557
BAYER01,AAGRI03,Global,0
BAYER01,QAGRI05,Global,0
BAYER01,AAGRI06,Global,0
GLOBA01,QAGRO01,Global,0
GLOBA01,AAGRO01,Global,0
GLOBA01,QAGRO02,Global,25873
GLOBA01,AAGRO08,Global,0
NONAM01,AGROM01,Global,0
WAHAN01,AAGRO02,Global,0
WAHAN01,AAGRO03,Global,0
WAHAN01,AAGRO04,Global,0
WAHAN01,AAGRO05,Global,0
EXCEL01,QAGRO03,Global,0
EXCEL01,AAGRO07,Global,0
EXCEL01,QAGRO04,Global,0
EXCEL01,AAGRO06,Global,0
EXCEL01,QAGRO05,Global,0
EXCEL01,QAGRO06,Global,0
GLOBA01,QAGRO07,Global,0
GLOBA01,AAGRO09,Global,0
GLOBA01,QAGRO11,Global,0
GLOBA01,QAGRO08,Global,0
GLOBA01,AAGRO10,Global,0
GLOBA01,QAGRO09,Global,0
GLOBA01,AAGRO11,Global,0
GLOBA01,QAGRO10,Global,0
ADVAN01,QAGUS01,Global,14193
ADVAN01,AAGUS02,Global,0
ADVAN01,QAGUS02,Global,10893
ADVAN01,AAGUS01,Global,0
SINER01,QAGXA02,Global,3085
SINER01,QAGXA01,Global,2213
ADVAN01,QAIPI02,Global,0
ADVAN01,AAIPI02,Global,0
ADVAN01,QAIPI01,Global,0
ADVAN01,AAIPI01,Global,0
ADVAN01,QAIPI03,Global,0
ADVAN01,AAIPI03,Global,0
ADVAN01,QAJIN01,Global,0
ADVAN01,QAKAL01,Global,283
ADVAN01,AAKAL03,Global,0
ADVAN01,QAKAL02,Global,2167
ADVAN01,AAKAL01,Global,0
ADVAN01,QAKAL03,Global,1648
ADVAN01,AAKAL02,Global,0
ADVAN01,QAKAR02,Global,0
ADVAN01,AAKAR02,Global,0
ADVAN01,QAKAR01,Global,0
ADVAN01,AAKAR01,Global,0
NONAM01,AAKOD01,Global,0
MAJUM01,QAKRO02,Global,627
MAJUM01,QAKRO03,Global,800
MAJUM01,AAKRO02,Global,0
MAJUM01,AAKRO01,Global,0
MAJUM01,QAKRO01,Global,230
ASIAG01,QALAM02,Global,0
ASIAG01,AALAM01,Global,0
